Wave	PROMISSAO_Agua_1_vs_Agua_1	PROMISSAO_Amostra_P03_vs_Agua_1	PROMISSAO_Amostra_P19_vs_Agua_1	PROMISSAO_Amostra_P18_vs_Agua_1	PROMISSAO_Amostra_P11_vs_Agua_1	PROMISSAO_Amostra_P14_vs_Agua_1	PROMISSAO_Amostra_P14_vs_Agua_1.1	PROMISSAO_Agua_2_vs_Agua_1	PROMISSAO_Amostra_P13_vs_Agua_1A	PROMISSAO_Amostra_P12_vs_Agua_1A	PROMISSAO_Amostra_P01_vs_Agua_1A	PROMISSAO_Amostra_P07_vs_Agua_1A	PROMISSAO_Amostra_P22_vs_Agua_1A	PROMISSAO_Amostra_P08_vs_Agua_1A	PROMISSAO_Agua_5_vs_Agua_4
291	-0.000154	0.497582	0.555137	0.508291	0.545088	0.530621	0.530621	0.000868	0.551446	0.516071	0.50104	0.525043	0.510074	0.530959	4.23333e-05
292	-0.000141	0.484771	0.542186	0.495645	0.533253	0.518662	0.518662	0.00089525	0.539299	0.50387	0.488022	0.511936	0.497114	0.517831	3.2e-05
293	-0.000131	0.472138	0.529336	0.483225	0.521537	0.506836	0.506836	0.00089125	0.527172	0.491804	0.475084	0.498873	0.484244	0.504713	2.8e-05
294	-9.6e-05	0.459858	0.516801	0.471069	0.510153	0.495351	0.495351	0.000907	0.515297	0.480028	0.462475	0.486123	0.471724	0.491971	4.66667e-05
295	-8.7e-05	0.448043	0.504657	0.459377	0.499133	0.484258	0.484258	0.000883	0.503784	0.468557	0.450376	0.473843	0.459662	0.479562	3.76667e-05
296	-8.5e-05	0.43653	0.492734	0.447925	0.488394	0.473488	0.473488	0.00087825	0.492615	0.457343	0.438593	0.461928	0.447992	0.467657	2.63333e-05
297	-0.000109	0.425397	0.481246	0.436908	0.477964	0.463068	0.463068	0.000865	0.481856	0.446438	0.427292	0.450481	0.436828	0.456169	2.7e-05
298	-0.000143	0.414582	0.470026	0.426238	0.467742	0.452962	0.452962	0.000882	0.471332	0.43587	0.416317	0.439341	0.425971	0.445016	3.96667e-05
299	-0.000165	0.40424	0.459328	0.416056	0.457884	0.443198	0.443198	0.00088275	0.461107	0.425562	0.405801	0.428741	0.415491	0.434329	4.06667e-05
300	-0.000143	0.394177	0.448833	0.406139	0.448279	0.433674	0.433674	0.0008725	0.451082	0.415547	0.39553	0.418429	0.405292	0.423884	1.86667e-05
301	-0.000106	0.384466	0.438541	0.396463	0.43892	0.424334	0.424334	0.000842	0.441336	0.40576	0.385528	0.408485	0.395387	0.413857	8.33333e-06
302	-9.7e-05	0.375067	0.428318	0.387044	0.42977	0.415192	0.415192	0.0008315	0.431913	0.396373	0.375904	0.398876	0.385901	0.404108	-3.3333299999999995e-06
303	-0.00011	0.366101	0.418244	0.378007	0.420917	0.406388	0.406388	0.00084575	0.422771	0.387294	0.366746	0.389763	0.376863	0.394805	-1.83333e-05
304	-0.000116	0.35739	0.40828	0.369301	0.412327	0.397887	0.397887	0.00082975	0.413875	0.378487	0.357923	0.380925	0.368131	0.385792	8.999999999999999e-06
305	-7.8e-05	0.349006	0.398402	0.360957	0.404071	0.389763	0.389763	0.000833	0.405293	0.369946	0.349412	0.372478	0.359779	0.377267	-1.4e-05
306	-2.2e-05	0.340941	0.388659	0.352946	0.396069	0.38189	0.38189	0.00079225	0.397033	0.361751	0.341221	0.364325	0.351688	0.369119	1.8666699999999995e-05
307	-1e-05	0.33323	0.37916	0.345274	0.388348	0.374286	0.374286	0.000806	0.389085	0.353879	0.333417	0.356585	0.343997	0.361363	-7.3333299999999984e-06
308	-7e-05	0.325751	0.369941	0.337736	0.380745	0.366785	0.366785	0.00076125	0.38133	0.346291	0.325963	0.349101	0.33652	0.353751	-1.06667e-05
309	-0.000129	0.318547	0.361086	0.3305	0.373386	0.359601	0.359601	0.00074925	0.373793	0.338939	0.318745	0.341882	0.329363	0.346474	-3.43333e-05
310	-0.000145	0.311698	0.352615	0.323538	0.366285	0.352625	0.352625	0.000717	0.366584	0.331889	0.311823	0.334976	0.322536	0.339447	-6.36667e-05
311	-0.000108	0.305096	0.344439	0.316919	0.359425	0.345942	0.345942	0.000719	0.359583	0.325035	0.305068	0.32822	0.315928	0.332693	-5.4e-05
312	-0.000108	0.298619	0.336501	0.310389	0.352689	0.339327	0.339327	0.0007345	0.352767	0.318387	0.298536	0.321738	0.309498	0.326075	-5.93333e-05
313	-9.9e-05	0.292139	0.328817	0.304	0.34601	0.332864	0.332864	0.0007325	0.345995	0.311885	0.292114	0.31529	0.303118	0.319584	-2.7666699999999997e-05
314	-0.000106	0.285771	0.321287	0.297598	0.339375	0.326404	0.326404	0.00071425	0.339292	0.3055	0.285822	0.309001	0.296803	0.31317	-2.73333e-05
315	-7.3e-05	0.279578	0.313972	0.291389	0.332848	0.32013	0.32013	0.000685	0.332746	0.2992	0.279658	0.302784	0.290652	0.306869	-6.03333e-05
316	-7.6e-05	0.273735	0.306822	0.285411	0.32656	0.314085	0.314085	0.000681	0.32646	0.29322	0.273823	0.296923	0.284805	0.300875	-0.000105333
317	-9e-05	0.267995	0.299717	0.279644	0.320415	0.308248	0.308248	0.0006615	0.32032	0.287381	0.268152	0.291217	0.2792	0.295039	-8.13333e-05
318	-8.8e-05	0.262415	0.292513	0.274009	0.314404	0.302495	0.302495	0.0006435	0.314325	0.281768	0.262626	0.285605	0.273703	0.289417	-9.1e-05
319	-8e-05	0.256819	0.285081	0.268445	0.308459	0.296769	0.296769	0.00058125	0.308444	0.276174	0.257102	0.280057	0.268217	0.283822	-5.73333e-05
320	-7.4e-05	0.251378	0.277606	0.263009	0.302601	0.291095	0.291095	0.00057375	0.302667	0.270718	0.251676	0.274568	0.26284	0.278388	-9e-05
321	-6.1e-05	0.246021	0.270187	0.257592	0.29691	0.285571	0.285571	0.00056625	0.297021	0.265427	0.246441	0.269253	0.257555	0.272986	-7e-05
322	-7.9e-05	0.2408	0.263093	0.252286	0.291296	0.280218	0.280218	0.000571	0.291439	0.260262	0.241343	0.26406	0.252487	0.267766	-0.000100667
323	-6.2e-05	0.235383	0.255933	0.246761	0.285517	0.274639	0.274639	0.0005675	0.285767	0.255013	0.236162	0.258775	0.247231	0.262214	-7.5e-05
324	-6.1e-05	0.230111	0.249242	0.241486	0.279784	0.269198	0.269198	0.00055575	0.280184	0.249796	0.231071	0.253604	0.242134	0.256787	-5.86667e-05
325	-8.5e-05	0.224946	0.24291	0.236295	0.27418	0.263808	0.263808	0.00051725	0.27474	0.244694	0.226089	0.248442	0.2371	0.251368	-2.0333299999999997e-05
326	-0.000103	0.220295	0.237452	0.23161	0.268985	0.258978	0.258978	0.0004845	0.269708	0.239938	0.221529	0.243686	0.232555	0.246592	-5.7e-05
327	-0.000124	0.215787	0.232324	0.227022	0.263926	0.25416	0.25416	0.000472	0.264827	0.235314	0.217065	0.239	0.228062	0.241998	-3.1e-05
328	-0.000106	0.211429	0.227489	0.222592	0.259035	0.249526	0.249526	0.00051025	0.26011	0.230857	0.212719	0.234481	0.223703	0.237617	-6.66667e-06
329	-9.5e-05	0.207162	0.22285	0.21824	0.254324	0.244952	0.244952	0.000542	0.255485	0.226483	0.208442	0.229982	0.219371	0.233265	5.36667e-05
330	-7.1e-05	0.202962	0.218353	0.213977	0.249713	0.240519	0.240519	0.00054725	0.25092	0.222215	0.204214	0.225523	0.215153	0.228905	4.16667e-05
331	-1.7e-05	0.198889	0.214013	0.209789	0.245169	0.236172	0.236172	0.00057675	0.246494	0.218031	0.200174	0.221161	0.211039	0.224667	1.43333e-05
332	-1.5e-05	0.194911	0.209806	0.205709	0.240713	0.231942	0.231942	0.00058125	0.242163	0.213951	0.196297	0.216972	0.207073	0.220547	-2.0000000000000005e-05
333	-4.9e-05	0.191075	0.205799	0.201775	0.236359	0.227807	0.227807	0.0005805	0.237901	0.209947	0.192516	0.212884	0.203206	0.216557	-1.93333e-05
334	-9e-05	0.187301	0.201843	0.197899	0.232052	0.223708	0.223708	0.000532	0.233674	0.206025	0.188764	0.208851	0.199412	0.212623	6.66667e-06
335	-0.000123	0.183606	0.19796	0.194138	0.227806	0.21967	0.21967	0.00049525	0.229593	0.202203	0.18508	0.204844	0.195659	0.208769	1.93333e-05
336	-0.000114	0.179915	0.194099	0.190357	0.223598	0.215683	0.215683	0.00049175	0.225686	0.198467	0.181505	0.200865	0.192022	0.205033	4.46667e-05
337	-0.000138	0.176351	0.190362	0.186687	0.219541	0.21182	0.21182	0.00050475	0.221805	0.194782	0.177955	0.196935	0.188405	0.201319	7.000000000000001e-06
338	-8.1e-05	0.172846	0.18672	0.183097	0.215577	0.208074	0.208074	0.00051575	0.217919	0.191173	0.17447	0.193043	0.184848	0.19764	-1.23333e-05
339	-7.1e-05	0.169405	0.183106	0.179536	0.211655	0.204362	0.204362	0.0005325	0.214014	0.187593	0.171027	0.189248	0.181319	0.193955	-3.23333e-05
340	-3.9e-05	0.165931	0.179504	0.176016	0.207711	0.200655	0.200655	0.000523	0.21015	0.184064	0.167643	0.185465	0.177833	0.190341	-3.36667e-05
341	-5.2e-05	0.162589	0.176035	0.172566	0.20391	0.197013	0.197013	0.000553	0.206435	0.18061	0.16432	0.181759	0.174466	0.186829	9.999999999999972e-07
342	-3.4e-05	0.159359	0.172648	0.169271	0.200221	0.193468	0.193468	0.00054175	0.202839	0.177254	0.161055	0.178134	0.171216	0.183448	-1.16667e-05
343	-4.5e-05	0.156211	0.169342	0.165997	0.196641	0.189963	0.189963	0.00055275	0.199333	0.17394	0.157919	0.17457	0.168042	0.180175	-4.66667e-06
344	-4.4e-05	0.153089	0.166057	0.162802	0.193042	0.186558	0.186558	0.00053325	0.195864	0.170638	0.154812	0.171059	0.164891	0.176927	-5.73333e-05
345	-1.2e-05	0.149983	0.16285	0.159629	0.189561	0.183201	0.183201	0.00054025	0.192409	0.167432	0.151735	0.16758	0.161678	0.173688	-3.53333e-05
346	3.8e-05	0.14692	0.159673	0.156539	0.186123	0.179915	0.179915	0.000549	0.18901	0.164283	0.148673	0.164208	0.158578	0.170449	-4.03333e-05
347	9.999999999999999e-06	0.143816	0.156473	0.15338	0.182662	0.176543	0.176543	0.00053	0.185642	0.161191	0.14563	0.160831	0.155461	0.167205	-1.96667e-05
348	-6.7e-05	0.140814	0.153337	0.150302	0.179206	0.173297	0.173297	0.00050475	0.182372	0.158109	0.142755	0.157606	0.152503	0.164087	-3.93333e-05
349	-7.7e-05	0.137904	0.150345	0.147326	0.175868	0.17014	0.17014	0.000502	0.179187	0.155086	0.139933	0.154433	0.14961	0.161073	-4.26667e-05
350	-7.2e-05	0.135151	0.147449	0.144469	0.172641	0.16713	0.16713	0.0005065	0.176032	0.152132	0.137193	0.151371	0.146786	0.15816	-1.6e-05
351	-3.7e-05	0.132411	0.144586	0.141636	0.169503	0.164063	0.164063	0.00050775	0.172957	0.149255	0.13444	0.148311	0.143994	0.1553	-6.333330000000001e-06
352	-6e-05	0.129719	0.141703	0.138863	0.166362	0.16106	0.16106	0.0004915	0.1699	0.146407	0.131725	0.145281	0.141206	0.152462	1.73333e-05
353	-4.6e-05	0.127022	0.138899	0.136107	0.163329	0.15807	0.15807	0.0005045	0.166928	0.143642	0.129063	0.142355	0.138529	0.149689	1.03333e-05
354	-5.8e-05	0.124393	0.136178	0.133421	0.160321	0.155225	0.155225	0.0005255	0.163976	0.140939	0.126514	0.139554	0.135883	0.146954	6.33333e-06
355	-4.8e-05	0.121874	0.133553	0.130785	0.157425	0.15246	0.15246	0.00054775	0.161103	0.138313	0.123996	0.136826	0.133312	0.144288	1.73333e-05
356	-7.7e-05	0.119414	0.130967	0.128224	0.154554	0.149769	0.149769	0.0005305	0.158315	0.135699	0.121542	0.134156	0.130781	0.141668	1.66667e-05
357	-0.000104	0.11702	0.128443	0.125738	0.151763	0.147083	0.147083	0.0004935	0.155589	0.133146	0.119103	0.131509	0.128347	0.13913	4.93333e-05
358	-0.000117	0.114639	0.126006	0.123314	0.14902	0.144477	0.144477	0.00047925	0.152968	0.130681	0.116785	0.128966	0.126001	0.13668	2.7e-05
359	-7.2e-05	0.112336	0.12362	0.120999	0.146336	0.141868	0.141868	0.00049775	0.150393	0.128318	0.114511	0.126485	0.123682	0.13435	2.56667e-05
360	-6.9e-05	0.110043	0.121251	0.118622	0.143685	0.139341	0.139341	0.0005225	0.147828	0.125926	0.112232	0.123989	0.121333	0.13198	-1.0000000000000006e-06
361	-5e-05	0.107804	0.118827	0.116264	0.141015	0.136747	0.136747	0.00054375	0.145205	0.123504	0.109914	0.121518	0.118951	0.129569	2.3333300000000006e-06
362	-8.6e-05	0.105529	0.116442	0.113842	0.138357	0.134247	0.134247	0.00052775	0.142562	0.121089	0.107589	0.119037	0.116569	0.127155	-4.33333e-06
363	-4.7e-05	0.103394	0.114136	0.111597	0.135786	0.131805	0.131805	0.00051825	0.140048	0.118807	0.10545	0.116715	0.114336	0.124859	-1.9e-05
364	-4.1e-05	0.101229	0.11194	0.109391	0.133319	0.129446	0.129446	0.00050875	0.137647	0.116553	0.103364	0.11442	0.112175	0.122651	-1.8e-05
365	-2.4e-05	0.099189	0.109794	0.107304	0.130909	0.127107	0.127107	0.0004685	0.135309	0.114369	0.101367	0.112243	0.110162	0.120511	-1.3e-05
366	-6e-06	0.097094	0.107674	0.10521	0.128544	0.124809	0.124809	0.0004705	0.133012	0.112214	0.099355	0.110094	0.108144	0.118453	-3.43333e-05
367	-5.4999999999999995e-05	0.095106	0.105533	0.10313	0.126145	0.122514	0.122514	0.0004325	0.130734	0.110152	0.097424	0.108015	0.106177	0.116477	-1.96667e-05
368	-6e-05	0.093103	0.103429	0.101091	0.123826	0.120266	0.120266	0.00045775	0.128494	0.108064	0.095496	0.105929	0.104155	0.114494	-3e-05
369	-6.1e-05	0.091243	0.101427	0.099113	0.121557	0.118056	0.118056	0.000465	0.126286	0.106031	0.093602	0.10389	0.10222	0.112615	-3.6666700000000013e-06
370	-2.2999999999999997e-05	0.089418	0.099552	0.097198	0.119422	0.115958	0.115958	0.000491	0.124111	0.104008	0.091737	0.101898	0.100308	0.110705	-2.4e-05
371	-3.2e-05	0.087647	0.097696	0.095306	0.117306	0.113901	0.113901	0.00049225	0.121987	0.102088	0.089946	0.099977	0.098487	0.108942	-3.93333e-05
372	-7.2e-05	0.085529	0.095485	0.093085	0.114776	0.111526	0.111526	0.00048425	0.119494	0.099828	0.087868	0.097793	0.096367	0.106299	-3.13333e-05
373	-8.3e-05	0.08342	0.093272	0.090905	0.112273	0.109114	0.109114	0.00047725	0.116986	0.097581	0.0858	0.095617	0.094252	0.103678	-3.66667e-05
374	-4.3e-05	0.081341	0.091106	0.08873	0.109767	0.106719	0.106719	0.00047475	0.114519	0.0953	0.083735	0.093435	0.092159	0.10096	-2.8e-05
375	-4.3e-05	0.079587	0.089276	0.086897	0.107723	0.104645	0.104645	0.00047775	0.11243	0.093357	0.081997	0.091573	0.090351	0.099099	-2.43333e-05
376	-3.9e-05	0.077839	0.087449	0.085055	0.105634	0.102622	0.102622	0.00046625	0.110436	0.091509	0.080309	0.089763	0.088645	0.097284	-2.73333e-05
